"1","25%","100","110","66","1428778214"
"2","4","65","80","71","1428767057"
"3","13","43","84","60","1428778535"
"4","32","42","83","62","1428775792"
"5","42","52","82","54","1428775027"
"6","360","54","77","57","1428783061"
"7","365","53","107","48","1428782964"
"8","420","41","79","89","1428777439"
"9","1965","43","80","43","1428776224"
"10","1980","56","103","61","1428780915"
"11","Jayden","13","103","84","1428777470"
"12"," Economy ","59","99","33","1428769573"
"13","___ is the universal language","40","86","53","1428783095"
"14","_____ and _____","40","84","68","1428772472"
"15","_____ within a(n) ______","33","82","84","1428781238"
"16","________ IN SPAAAAAAAACE","62","52","61","1428773102"
"17","->^-^<-","37","66","100","1428781978"
"18","..that have came to change the future.","25","79","54","1428768548"
"19","[Something from the real world] the video game","53","63","62","1428771803"
"20","Stop breathing","53","87","32","1428775127"
"21","Switch","58","82","22","1428780881"
"22","(Eternal) Chaos","46","109","47","1428777418"
"23","(Just )One more turn","52","93","48","1428771466"
"24","(Solar) Eclipse","47","94","40","1428770410"
"25","(un)lucky 13","39","86","47","1428780177"
"26","[Genre] without [Feature]","59","78","72","1428778733"
"27","[Insert word of your choice here] Busters","58","75","51","1428784681"
"28","**** the world!","79","56","74","1428776918"
"29","/r/trees","12","79","96","1428780532"
"30","#$@%!","47","54","90","1428767344"
"31","#beast Mode","37","91","74","1428778242"
"32","#deathmatch","33","68","67","1428775307"
"33","#TheDress","17","72","90","1428777448"
"34","#thedress #blackandgold #blueandwhite","13","42","121","1428767650"
"35","00's","27","92","49","1428777338"
"36","1 bullet","84","64","35","1428780002"
"37","1 Button","64","66","33","1428783051"
"38","1 Dimensional","56","93","46","1428776997"
"39","1 Frame Per Second","74","72","58","1428768263"
"40","1 minute to finish it","78","55","47","1428781888"
"41","1+1=3","45","66","62","1428776207"
"42","10 Decisions","79","79","44","1428756549"
"43","10 Seconds","67","51","45","1428767856"
"44","10 Seconds Until...","74","72","29","1428781297"
"45","10,000 years","66","74","48","1428775859"
"46","10.000 B.C","51","75","44","1428783097"
"47","100 miles","49","97","43","1428779011"
"48","100 years","69","85","39","1428769259"
"49","1000 is better than 1","76","83","44","1428778665"
"50","1000 years","86","72","19","1428783275"
"51","11 warriors","52","92","48","1428781118"
